"
"C18020C",7.000,"Not employed","N","N","N","N"
"C18020D",.,"DISABILITY STATUS BY EMPLOYMENT STATUS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 TO 64 YEARS (ASIAN ALONE)",,,,
"C18020D",.,"Universe:  Asian alone civilian noninstitutionalized population 16 to 64 years",,,,
"C18020D",1.000,"Total:","17,860","+/-2,273","15,587","20,133"
"C18020D",2.000,"With a disability:","1,163","+/-449","714","1,612"
"C18020D",3.000,"Employed","226","+/-162","64","388"
"C18020D",4.000,"Not employed","937","+/-423","
