/28/02||EST|1|F|Y|Millbrook|NY|41.7856|-73.6947|OZONE|45|Good|No|
12/27/02|12/27/02||EST|0|F|Y|Millville|NJ|39.4222|-75.0258|OZONE|45|Good|No|
12/27/02|12/28/02||EST|1|F|Y|Millville|NJ|39.4222|-75.0258|OZONE|45|Good|No|
12/27/02|12/27/02||CST|0|F|Y|Minneapolis-St. Paul|MN|44.9550|-93.1850|OZONE|50|Good|No|
12/27/02|12/28/02||CST|1|F|Y|Minneapolis-St. Paul|MN|44.9550|-93.1850|OZONE|50|Good|No|
12/27/02|12/26/02||PST|-1|Y|Y|Modesto|CA|37.6598|-120.9939|OZONE||Moderate|No|
12/27/02|12/27/02||PST|0|F|Y|Modesto|
