0.000,"Born in state of residence:","335,804","+/-7,976","327,828","343,780"
"C06001",11.000,"Under 5 years","43,002","+/-1,105","41,897","44,107"
"C06001",12.000,"5 to 17 years","90,999","+/-2,595","88,404","93,594"
"C06001",13.000,"18 to 24 years","37,379","+/-2,636","34,743","40,015"
"C06001",14.000,"25 to 44 years","67,350","+/-4,263","63,087","71,613"
"C06001",15.000,"45 to 54 years","40,637","+/-2,717","37,920","43,354"
"C06001",16.000,"55 to 64 years","30,404","+/-2,285","28,119","32,689"
"C06001",17
