67129,+/-10577,8.8,+/-1.7,18.0,+/-2.3,22.9,+/-2.6,,,,,,
S1703,15.3, ,,,,,,,,,,,,,,
S1703,16,Hispanic or Latino origin (of any race),2243084,+/-2197,11.4,+/-0.6,27.0,+/-0.9,34.0,+/-0.9,,,,,,
S1703,17,White alone not Hispanic or Latino,2849712,+/-5778,4.9,+/-0.4,11.4,+/-0.6,14.5,+/-0.6,,,,,,
S1703,17.3, ,,,,,,,,,,,,,,
S1703,17.5,LIVING ARRANGEMENT,,,,,,,,,,,,,,
S1703,18,In family households,6571619,+/-19083,7.5,+/-0.4,17.4,+/-0.5,22.5,+/-0.6,,,,,,
S1703,19,In married-couple family,3928878,+/-44641,3.4,+/-0.4,
