embers,"1,507 ",596 ,25 ,35 ,2 ,201 ,10 ,188 ,2 ,448 
.Three members,"1,017 ",605 ,23 ,30 ,7 ,151 ,12 ,102 ,4 ,83 
.Four members,"1,028 ",627 ,43 ,44 ,7 ,182 ,7 ,56 ,9 ,52 
.Five members,489 ,290 ,14 ,15 ,3 ,87 ,8 ,43 ,- ,31 
.Six or more members,335 ,180 ,13 ,14 ,6 ,56 ,6 ,29 ,4 ,26 
AGE OF REFERENCE PERSON,,,,,,,,,,
.Under 20 years,7 ,5 ,- ,- ,- ,2 ,- ,- ,- ,- 
.20-24 years,123 ,56 ,7 ,2 ,- ,48 ,1 ,4 ,- ,5 
.25-29 years,294 ,181 ,7 ,16 ,6 ,65 ,2 ,9 ,2 ,6 
.30-34 years,495 ,312 ,21 ,29 ,3 ,93 ,9 ,15 ,- ,13
