Mexican",189,"Production, transportation, and material moving occupations","16.4","+/-1.8","20.1","+/-3.8"
"401","Mexican",190,"Female civilian employed population 16 years and over","171,516","+/-4,084","18,946","+/-2,186"
"401","Mexican",191,"Management, professional, and related occupations","32.1","+/-2.2","20.1","+/-4.4"
"401","Mexican",192,"Service occupations","23.9","+/-1.9","37.9","+/-6.1"
"401","Mexican",193,"Sales and office occupations","36.9","+/-2.2","28.3","+/-5.7"
"401","Mexican",194,"Farmin
