co,,,,,,,,,,
Rhode Island,2,"14,855",95.7,0.0,0.0,0.0,4.3,,,
South Carolina,8,"10,592",87.6,0.0,0.0,0.0,12.4,,,
South Dakota,2,"1,045",82.1,0.0,0.0,0.0,17.9,,,
Tennessee,8,"26,360",88.4,0.0,8.3,0.0,3.4,,,
Texas,31,"302,730",92.9,0.0,3.8,0.9,2.4,,,
Utah,2,"27,062",74.3,0.0,22.5,0.0,3.2,,,
Vermont,1,"1,599",98.9,0.0,0.0,0.0,1.1,,,
Virginia,14,"50,939",92.5,0.0,0.0,4.8,2.7,,,
Washington,17,"175,329",70.3,0.0,0.2,0.3,29.2,,,
West Virginia,4,"3,495",97.7,0.0,0.0,0.0,2.3,,,
Wisconsin,18,"95,996",97.8,0
