P02",48.0,"5 or more years","15,676","+/-2,391","10.6","+/-1.7"
"DP02",48.3,,,,,
"DP02",48.5,"Characteristics of grandparents responsible for own grandchildren under 18 years",,,,
"DP02",49.0,"Who are female","62.3","+/-3.4","(X)","(X)"
"DP02",50.0,"Who are married","66.0","+/-5.1","(X)","(X)"
"DP02",50.3,,,,,
"DP02",50.5,"SCHOOL ENROLLMENT",,,,
"DP02",51.0,"Population 3 years and over enrolled in school","1,353,763","+/-13,009","100","(X)"
"DP02",52.0,"Nursery school, preschool","96,993","+/-5,899","7.2","
