 America:",215,"Median household income (dollars)","43,546","+/-1,492","29,746","+/-2,184"
"687","Latin America:",216,"With earnings","75.9","+/-0.8","88.4","+/-2.3"
"687","Latin America:",217,"Mean earnings (dollars)","58,111","+/-1,387","42,196","+/-4,098"
"687","Latin America:",218,"With Social Security income","31.0","+/-0.7","18.2","+/-2.7"
"687","Latin America:",219,"Mean Social Security income (dollars)","14,955","+/-321","12,079","+/-1,155"
"687","Latin America:",220,"With Supplemental Security Inco
