roduction, transportation, and material moving occupations","808","+/-517","291","1,325"
"B08124",32.000,"Armed forces","0","+/-303","0","303"
"B08124",33.000,"Walked:","3,683","+/-1,188","2,495","4,871"
"B08124",34.000,"Management, professional, and related occupations","1,084","+/-565","519","1,649"
"B08124",35.000,"Service occupations","1,144","+/-735","409","1,879"
"B08124",36.000,"Sales and office occupations","722","+/-433","289","1,155"
"B08124",37.000,"Farming, fishing, and forestry occupations","68
