tive",152,"Language other than English","4.0","+/-0.5","2.0","+/-0.4"
"600","Native",153,"Speak English less than ""very well""","1.5","+/-0.4","0.5","+/-0.2"
"600","Native",154,"Population 16 years and over","542,618","+/-4,321","527,159","+/-4,480"
"600","Native",155,"In labor force","59.2","+/-1.0","59.2","+/-1.0"
"600","Native",156,"Civilian labor force","59.2","+/-1.0","59.1","+/-1.0"
"600","Native",157,"Employed","55.3","+/-1.0","55.2","+/-1.0"
"600","Native",158,"Unemployed","3.9","+/-0.5","3.9","+/-
