0,"No self-care disability","228,888","+/-3,950","224,938","232,838"
"C18007",.,"SEX BY AGE BY GO-OUTSIDE-HOME DISABILITY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 YEARS AND OVER",,,,
"C18007",.,"Universe:  Civilian noninstitutionalized population 16 years and over",,,,
"C18007",1.000,"Total:","3,427,538","+/-8,028","3,419,510","3,435,566"
"C18007",2.000,"Male:","1,647,023","+/-5,977","1,641,046","1,653,000"
"C18007",3.000,"16 to 64 years:","1,444,752","+/-5,827","1,438,925","1,450,579"
"C18007",4
