ylvania,207,208,209,211,213,215,215,215
New Cumberland borough,Pennsylvania,"7,127","7,158","7,214","7,257","7,283","7,336","7,349","7,349"
New Eagle borough,Pennsylvania,"2,276","2,289","2,303","2,310","2,245","2,259","2,262","2,262"
Newell borough,Pennsylvania,529,533,537,540,543,550,551,551
New Florence borough,Pennsylvania,749,756,763,768,775,782,784,784
New Freedom borough,Pennsylvania,"3,889","3,834","3,687","3,636","3,626","3,537","3,512","3,512"
New Galilee borough,Pennsylvania,403,408,412,414
