",,,,,,
"S1601",1.0,"Population 5 years and over","47,440,765","+/-9,741","95.0","+/-0.1","5.0","+/-0.1",,,,,,
"S1601",2.0,"Speak only English","88.0","+/-0.1","(X)","(X)","(X)","(X)",,,,,,
"S1601",3.0,"Speak a language other than English","12.0","+/-0.1","57.8","+/-0.4","42.2","+/-0.4",,,,,,
"S1601",4.0,"Spanish or Spanish Creole","5.9","+/-0.1","52.8","+/-0.7","47.2","+/-0.7",,,,,,
"S1601",5.0,"Other Indo-European languages","3.3","+/-0.1","66.7","+/-0.7","33.3","+/-0.7",,,,,,
"S1601",6.0,"Asian and Pacif
