pipefitters, and steamfitters","735","+/-477","258","1,212"
"B24020",101.000,"Construction trades workers except carpenters, electricians, painters, plumbers, and construction laborers","2,843","+/-1,110","1,733","3,953"
"B24020",102.000,"Other construction workers and helpers","1,371","+/-802","569","2,173"
"B24020",103.000,"Extraction workers","60","+/-97","0","157"
"B24020",104.000,"Installation, maintenance, and repair occupations:","7,185","+/-1,792","5,393","8,977"
"B24020",105.000,"Vehicle and mobile
