3.3, ,,,,,,,,,,,,,,
S0504,34,Average  household size,3.09,+/-0.03,3.21,+/-0.16,2.19,+/-0.24,2.20,+/-0.35,,,,,,
S0504,35,Average family size,3.68,+/-0.03,3.87,+/-0.16,3.30,+/-0.31,2.80,+/-0.44,,,,,,
S0504,35.3, ,,,,,,,,,,,,,,
S0504,35.5,MARITAL STATUS,,,,,,,,,,,,,,
S0504,36,Population 15  years and over,2935466,+/-30267,112195,+/-7824,21734,+/-2984,8351,+/-2190,,,,,,
S0504,37,Never married,28.4,+/-0.5,30.6,+/-2.9,41.5,+/-6.1,33.1,+/-14.2,,,,,,
S0504,38,Now married except separated,53.0,+/-0.7,54.9,+/-3.0,44.
