 ,159000
2007 ,481999 ,APIARY PRODUCTS HONEY ,89 ,Shasta ,  ,  ,110000 ,1.25 ,LBS ,137400
2007 ,481999 ,APIARY PRODUCTS HONEY ,99 ,Stanislaus ,  ,  ,332000 ,0.88 ,LBS ,292000
2007 ,481999 ,APIARY PRODUCTS HONEY ,101 ,Sutter ,  ,  ,21255 ,0.85 ,LBS ,18100
2007 ,481999 ,APIARY PRODUCTS HONEY ,107 ,Tulare ,  ,  ,14626000 ,1.02 ,LBS ,14935000
2007 ,481999 ,APIARY PRODUCTS HONEY ,111 ,Ventura ,  ,  ,210605 ,1.32 ,LBS ,279000
2007 ,481999 ,APIARY PRODUCTS HONEY ,991 ,Sum of Others ,  ,  ,40000 ,2.50 ,LBS ,1
