e, and repair occupations:","143","+/-139","4","282"
"C24020",68.000,"Construction and extraction occupations","99","+/-121","0","220"
"C24020",69.000,"Installation, maintenance, and repair occupations","44","+/-71","0","115"
"C24020",70.000,"Production, transportation, and material moving occupations:","1,401","+/-752","649","2,153"
"C24020",71.000,"Production occupations","374","+/-260","114","634"
"C24020",72.000,"Transportation and material moving occupations:","1,027","+/-709","318","1,736"
"C24020",73
