3,4,2,11
AGE OF OWN CHILDREN,Without own children under 18 years,66,27,4,4,13,3,5,2,9
,With own children under 18 years,56,30,2,2,14,-,1,3,4
,Without own children under 12 years,87,38,6,6,16,3,6,2,11
,With own children under 12 years,35,19,-,-,11,-,-,3,3
,Without own children under 6 years,105,45,6,6,23,3,6,5,12
,With own children under 6 years,18,12,-,-,5,-,-,-,1
,Without own children under 5 years,108,47,6,6,24,3,6,5,12
,With own children under 5 years,15,10,-,-,3,-,-,-,1
,Without own children un
