5009",13.000,"One or more foreign-born parent:","32,050","+/-3,926","28,124","35,976"
"C05009",14.000,"Child is native","26,010","+/-3,829","22,181","29,839"
"C05009",15.000,"Child is foreign born","6,040","+/-1,884","4,156","7,924"
"C05010",.,"RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS",,,,
"C05010",.,"Universe: Own children under 18 years living in familes or subfamilies for whom poverty status is determi
