f any race)",276,"Built 1939 or earlier","2.2","+/-0.4","2.0","+/-0.8"
"400","Hispanic or Latino (of any race)",277,"None","8.9","+/-0.9","9.0","+/-1.5"
"400","Hispanic or Latino (of any race)",278,"1 or more","91.1","+/-0.9","91.0","+/-1.5"
"400","Hispanic or Latino (of any race)",279,"Gas","60.9","+/-1.2","57.6","+/-3.1"
"400","Hispanic or Latino (of any race)",280,"Electricity","38.0","+/-1.2","42.1","+/-3.1"
"400","Hispanic or Latino (of any race)",281,"All other fuels","0.8","+/-0.2","0.3","+/-0.3"
"40
