","0","184"
"B20005H",95.000,"$100,000 or more","172","+/-219","0","391"
"B20005I",.,"SEX BY WORK EXPERIENCE IN THE PAST 12 MONTHS BY EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) FOR THE POPULATION 16 YEARS AND OVER (HISPANIC OR LATINO)",,,,
"B20005I",.,"Universe:  Hispanic or Latino population 16 years and over",,,,
"B20005I",1.000,"Total:","N","N","N","N"
"B20005I",2.000,"Male:","N","N","N","N"
"B20005I",3.000,"Worked full-time, year-round in the past 12 months:","N","N","N","N"
"B2
