"
"B23003",.,"PRESENCE OF OWN CHILDREN UNDER 18 YEARS BY AGE OF OWN CHILDREN UNDER 18 YEARS BY EMPLOYMENT STATUS FOR FEMALES 20 TO 64 YEARS",,,,
"B23003",.,"Universe:  Females 20 to 64 years in households",,,,
"B23003",1.000,"Total:","238,014","+/-4,865","233,149","242,879"
"B23003",2.000,"With own children under 18 years:","91,031","+/-4,159","86,872","95,190"
"B23003",3.000,"Under 6 years only:","21,271","+/-2,363","18,908","23,634"
"B23003",4.000,"In labor force:","14,184","+/-2,100","12,084","16,284"
"B
