B05003A",22.000,"Naturalized U.S. citizen","759","+/-467","292","1,226"
"B05003A",23.000,"Not a U.S. citizen","85","+/-104","0","189"
"B05003B",.,"SEX BY AGE BY CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE)",,,,
"B05003B",.,"Universe:  Black or African American alone population",,,,
"B05003B",1.000,"Total:","N","N","N","N"
"B05003B",2.000,"Male:","N","N","N","N"
"B05003B",3.000,"Under 18 years:","N","N","N","N"
"B05003B",4.000,"Native","N","N","N","N"
"B05003B",5.000,"Foreign born:","N","N","N","N"
"
