/-0.6"
"DP04",74.3,,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,,
"DP04",75.0,"Occupied housing units","149,441","+/-1,587","100","(X)"
"DP04",76.0,"1.00 or less","147,514","+/-1,778","98.7","+/-0.5"
"DP04",77.0,"1.01 to 1.50","1,648","+/-617","1.1","+/-0.4"
"DP04",78.0,"1.51 or more","279","+/-188","0.2","+/-0.1"
"DP04",78.3,,,,,
"DP04",78.5,"VALUE",,,,
"DP04",79.0,"Owner-occupied units","108,129","+/-2,400","100","(X)"
"DP04",80.0,"Less than $50,000","2,637","+/-662","2.4","+/-0.6"
"DP04",81.0,"$50,000 to $99,
