 YEARS,Without own children under 6,105,45,6,6,23,3,6,5,12
,One own child under 6,12,8,-,-,3,-,-,-,1
,Two own children under 6,5,3,-,-,2,-,-,-,-
NUMBER OF OWN CHILDREN UNDER 3 YEARS,Without own children under 3,111,49,6,6,24,3,6,5,13
,One own child under 3,10,8,-,-,1,-,-,-,-
,Two or more own children under 3,2,-,-,-,2,-,-,-,-



,,,,,,,,,,
"Black only, Married Couple Unrelated Subfamily",,All Married Couples,Both in Labor Force,Only Husband in Labor Force,,,,,,
,,,Both Employed,Husband Employed,,
