/-6,772","4.5","+/-1.3","3.1","+/-1.1","0.6","+/-0.4","0.5","+/-0.5",,
"S0701",13.3,,,,,,,,,,,,,
"S0701",13.5,"RACE AND HISPANIC OR LATINO ORIGIN",,,,,,,,,,,,
"S0701",14.0,"One race","N","N","N","N","N","N","N","N","N","N",,
"S0701",15.0,"White","34,713","+/-6,018","6.0","+/-3.0","1.0","+/-0.9","0.3","+/-0.3","0.3","+/-0.5",,
"S0701",16.0,"Black or African American","119,642","+/-8,660","4.4","+/-1.7","4.3","+/-1.8","1.2","+/-0.7","0.3","+/-0.4",,
"S0701",17.0,"American Indian and Alaska Native","N","N","N"
