h (015, 022)",173,"Other means","2.9","+/-0.5","2.3","+/-1.3"
"529","English (015, 022)",174,"Worked at home","4.7","+/-0.5","6.1","+/-1.7"
"529","English (015, 022)",175,"Mean travel time to work (minutes)","24.0","+/-0.5","24.3","+/-1.7"
"529","English (015, 022)",176,"Civilian employed population 16 years and over","422,792","+/-6,218","41,984","+/-3,174"
"529","English (015, 022)",177,"Management, professional, and related occupations","35.1","+/-1.3","45.6","+/-4.1"
"529","English (015, 022)",178,"Serv
