%","0.3","*"
"DP02",19.0,"Spouse","13.4%","0.4","13.4%","0.4",
"DP02",20.0,"Child","31.7%","0.6","30.0%","0.6","*"
"DP02",21.0,"Other relatives","11.8%","0.7","10.9%","0.7",
"DP02",22.0,"Nonrelatives","7.8%","0.5","7.9%","0.6",
"DP02",23.0,"Unmarried partner","2.1%","0.2","2.0%","0.2",
"DP02",23.3,,,,,,
"DP02",23.5,"MARITAL STATUS",,,,,
"DP02",24.0,"Males 15 years and over","262,390","3,931","258,233","2,196",
"DP02",25.0,"Never married","42.9%","1.0","43.5%","1.1",
"DP02",26.0,"Now married, except separate
