ulation",147,"Oceania",,,"0.3","+/-0.2"
"001","Total population",148,"Latin America",,,"67.6","+/-2.5"
"001","Total population",149,"Northern America",,,"3.5","+/-0.8"
"001","Total population",150,"Population 5 years and over",,,"900,044","+/-5"
"001","Total population",151,"English only",,,"71.6","+/-0.8"
"001","Total population",152,"Language other than English",,,"28.4","+/-0.8"
"001","Total population",153,"Speak English less than ""very well""",,,"9.9","+/-0.6"
"001","Total population",154,"Population 
