Foreign born:","920","+/-329","591","1,249"
"B05003D",22.000,"Naturalized U.S. citizen","598","+/-310","288","908"
"B05003D",23.000,"Not a U.S. citizen","322","+/-183","139","505"
"B05003E",.,"SEX BY AGE BY CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE)",,,,
"B05003E",.,"Universe:  Native Hawaiian and Other Pacific Islander alone population",,,,
"B05003E",1.000,"Total:","N","N","N","N"
"B05003E",2.000,"Male:","N","N","N","N"
"B05003E",3.000,"Under 18 years:","N","N","N","N"
"B05003E",
