 16 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C23002H",.,"Universe:  White alone, not Hispanic or Latino population 16 years and over",,,,
"C23002H",1.000,"Total:","448,437","+/-1,704","446,733","450,141"
"C23002H",2.000,"Male:","214,931","+/-1,053","213,878","215,984"
"C23002H",3.000,"16 to 64 years:","177,986","+/-1,028","176,958","179,014"
"C23002H",4.000,"In labor force:","117,108","+/-3,388","113,720","120,496"
"C23002H",5.000,"In Armed Forces","133","+/-159","0","292"
"C23002H",6.000,
