000,"Enrolled in school:","376","+/-311","65","687"
"B18015",4.000,"Below college","339","+/-302","37","641"
"B18015",5.000,"College or graduate school","37","+/-64","0","101"
"B18015",6.000,"Not enrolled in school:","3,821","+/-992","2,829","4,813"
"B18015",7.000,"Less than high school graduate","1,201","+/-464","737","1,665"
"B18015",8.000,"High school graduate (includes equivalency)","1,880","+/-651","1,229","2,531"
"B18015",9.000,"Some college or associate's degree","542","+/-342","200","884"
"B18015",1
