n (032-045)",286,"Less than 30 percent","70.8","+/-1.5","76.1","+/-2.7"
"535","German (032-045)",287,"30 percent or more","29.2","+/-1.5","23.9","+/-2.7"
"535","German (032-045)",288,"Median value (dollars)","210,700","+/-3,393","217,700","+/-7,852"
"535","German (032-045)",289,"Median selected monthly owner costs with a mortgage (dollars)","1,321","+/-34","1,300","+/-73"
"535","German (032-045)",290,"Median selected monthly owner costs without a mortgage (dollars)","348","+/-11","363","+/-15"
"535","German
