000,"$25,000 to $34,999","2,710","+/-879","1,831","3,589"
"C19037A",18.000,"$35,000 to $49,999","3,438","+/-1,027","2,411","4,465"
"C19037A",19.000,"$50,000 to $74,999","8,619","+/-1,359","7,260","9,978"
"C19037A",20.000,"$75,000 to $99,999","6,856","+/-1,384","5,472","8,240"
"C19037A",21.000,"$100,000 to $149,999","9,221","+/-1,418","7,803","10,639"
"C19037A",22.000,"$150,000 to $199,999","5,022","+/-1,006","4,016","6,028"
"C19037A",23.000,"$200,000 or more","8,367","+/-946","7,421","9,313"
"C19037A",24.00
