n","N","N","N","N"
"C21001G",15.000,"Nonveteran","N","N","N","N"
"C21001H",.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",,,,
"C21001H",.,"Universe: White alone, not Hispanic or Latino civilian population 18 years and over",,,,
"C21001H",1.000,"Total:","27,873","+/-2,882","24,991","30,755"
"C21001H",2.000,"Male:","12,959","+/-1,593","11,366","14,552"
"C21001H",3.000,"18 to 64 years:","9,791","+/-1,435","8,356","11,226"
"C21001H",4.000,"Ve
