 $99,999","N","N","N","N"
"B19131",104.000,"$100,000 to $124,999","N","N","N","N"
"B19131",105.000,"$125,000 to $149,999","N","N","N","N"
"B19131",106.000,"$150,000 to $199,999","N","N","N","N"
"B19131",107.000,"$200,000 or more","N","N","N","N"
"B19201",.,"NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B19201",.,"Universe:  Nonfamily households",,,,
"B19201",1.000,"Total:","12,032","+/-1,106","10,926","13,138"
"B19201",2.000,"Less than $10,000","1,128","+/-505",
