B25103",.,"Universe:  Owner-occupied housing units",,,,
"B25103",0.700,"Median real estate taxes paid --",,,,
"B25103",1.000,"Total:","1,943","+/-222","1,721","2,165"
"B25103",2.000,"Median real estate taxes paid for units with a mortgage","2,533","+/-270","2,263","2,803"
"B25103",3.000,"Median real estate taxes paid for units without a mortgage","547","+/-121","426","668"
"B25104",.,"MONTHLY HOUSING COSTS",,,,
"B25104",.,"Universe:  Occupied housing units",,,,
"B25104",1.000,"Total:","37,478","+/-1,855","3
