       2","      29","     Number of women 15 to 50 years old who had"," "," "," "," "," "," "," "
"        2","      29","          a birth in the past 12 months","        19,448","   100%","        15,402","   100%","        -4,046","+/-5,513","no"
"        2","      30","Unmarried women (widowed, divorced, and never married)","         7,750","  39.8%","         6,600","  42.9%","   3.1%","+/-19.5%","no"
"        2","      31","     Per 1,000 unmarried women","            39","(NA)","            34","
