",2.000,"U.S. citizen, born in the United States","578,261","+/-2,265","575,996","580,526"
"C05001",3.000,"U.S. citizen, born in Puerto Rico, U.S. Island Areas, or born abroad of American parent(s)","1,717","+/-720","997","2,437"
"C05001",4.000,"U.S. citizen by naturalization","3,366","+/-934","2,432","4,300"
"C05001",5.000,"Not a U.S. citizen","1,439","+/-717","722","2,156"
"C05002",.,"PLACE OF BIRTH BY CITIZENSHIP STATUS",,,,
"C05002",.,"Universe: Total population",,,,
"C05002",1.000,"Total:","584,783","+
