ther services, except public administration","387","+/-238","149","625"
"B24070",81.000,"Public administration","0","+/-292","0","292"
"B24070",82.000,"Private not-for-profit wage and salary workers:","25,789","+/-3,146","22,643","28,935"
"B24070",83.000,"Agriculture, forestry, fishing and hunting, and mining:","0","+/-292","0","292"
"B24070",84.000,"Agriculture, forestry, fishing and hunting","0","+/-292","0","292"
"B24070",85.000,"Mining","0","+/-292","0","292"
"B24070",86.000,"Construction","223","+/-195
