           992","           123","         1,861"
"50000US1702","1"," 28","         7,133","         2,223","        12,043"
"50000US1702","1"," 29","             N","             N","             N"
"50000US1702","1"," 30","             N","             N","             N"
"50000US1702","1"," 31","             N","             N","             N"
"50000US1702","1"," 32","             N","             N","             N"
"50000US1702","1"," 33","             N","             N","             N"
"5000
