to $7,499","823","+/-509","314","1,332"
"B20005B",79.000,"$7,500 to $9,999","783","+/-510","273","1,293"
"B20005B",80.000,"$10,000 to $12,499","1,493","+/-810","683","2,303"
"B20005B",81.000,"$12,500 to $14,999","931","+/-640","291","1,571"
"B20005B",82.000,"$15,000 to $17,499","365","+/-340","25","705"
"B20005B",83.000,"$17,500 to $19,999","809","+/-553","256","1,362"
"B20005B",84.000,"$20,000 to $22,499","60","+/-99","0","159"
"B20005B",85.000,"$22,500 to $24,999","157","+/-200","0","357"
"B20005B",86.000
