   "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "71",          1024,           785,           554,           562,           771,           867,           772,           440,
  "72",          -166,          -171,          -254,          -314,          -160,           -29,           -52,          -438,
  "73",           859,           614,           300,     
