acilities","0.2%","0.1","0.5%","0.2",
"DP04",74.0,"No telephone service available","1.9%","0.3","2.0%","0.3",
"DP04",74.3,,,,,,
"DP04",74.5,"OCCUPANTS PER ROOM",,,,,
"DP04",75.0,"Occupied housing units","237,501","1,730","239,592","1,396",
"DP04",76.0,"1.00 or less","98.8%","0.2","98.7%","0.2",
"DP04",77.0,"1.01 to 1.50","1.0%","0.2","1.1%","0.2",
"DP04",78.0,"1.51 or more","0.2%","0.1","0.2%","0.1",
"DP04",78.3,,,,,,
"DP04",78.5,"VALUE",,,,,
"DP04",79.0,"Owner-occupied units","186,898","2,294","188,331","2
