0,"1.50 to 1.84","5,198","+/-1,881","3,317","7,079"
"C17002",7.000,"1.85 to 1.99","4,076","+/-2,128","1,948","6,204"
"C17002",8.000,"2.00 and over","81,340","+/-5,924","75,416","87,264"
"C17003",.,"POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY EDUCATIONAL ATTAINMENT",,,,
"C17003",.,"Universe: Population 25 years and over for whom poverty status is determined",,,,
"C17003",1.000,"Total:","71,473","+/-3,739","67,734","75,212"
"C17003",2.000,"Income in the past 12 months below poverty level:","6,863",
