niverse: Total population",,,,
"C04006",1.000,"Total:","706,984","*****","*****","*****"
"C04006",2.000,"American","11,816","+/-2,359","9,457","14,175"
"C04006",3.000,"Arab","12,365","+/-4,421","7,944","16,786"
"C04006",4.000,"British","4,180","+/-1,270","2,910","5,450"
"C04006",5.000,"Czech","2,604","+/-1,005","1,599","3,609"
"C04006",6.000,"Danish","5,063","+/-1,535","3,528","6,598"
"C04006",7.000,"Dutch","7,289","+/-1,513","5,776","8,802"
"C04006",8.000,"English","48,373","+/-4,442","43,931","52,815"
"C0
