han $60,000","95","+/-110","0","205"
"C25121",9.000,"Value $60,000 to $99,999","178","+/-178","0","356"
"C25121",10.000,"Value $100,000 to $199,999","54","+/-91","0","145"
"C25121",11.000,"Value $200,000 or more","5,757","+/-1,072","4,685","6,829"
"C25121",12.000,"$20,000 to $34,999:","11,317","+/-1,474","9,843","12,791"
"C25121",13.000,"Value less than $60,000","493","+/-257","236","750"
"C25121",14.000,"Value $60,000 to $99,999","401","+/-236","165","637"
"C25121",15.000,"Value $100,000 to $199,999","368"
