.000,"Agriculture, forestry, fishing and hunting","N","N","N","N"
"B24050",4.000,"Mining","N","N","N","N"
"B24050",5.000,"Construction","N","N","N","N"
"B24050",6.000,"Manufacturing","N","N","N","N"
"B24050",7.000,"Wholesale trade","N","N","N","N"
"B24050",8.000,"Retail trade","N","N","N","N"
"B24050",9.000,"Transportation and warehousing, and utilities:","N","N","N","N"
"B24050",10.000,"Transportation and warehousing","N","N","N","N"
"B24050",11.000,"Utilities","N","N","N","N"
"B24050",12.000,"Information"
