2)",200,"Wholesale trade","3.0","+/-0.5","4.2","+/-1.8"
"529","English (015, 022)",201,"Retail trade","10.8","+/-1.0","11.0","+/-2.3"
"529","English (015, 022)",202,"Transportation and warehousing, and utilities","5.3","+/-0.6","6.5","+/-2.0"
"529","English (015, 022)",203,"Information","1.7","+/-0.4","1.4","+/-0.9"
"529","English (015, 022)",204,"Finance and insurance, and real estate and rental and leasing","5.8","+/-0.7","7.9","+/-1.8"
"529","English (015, 022)",205,"Professional, scientific, and managem
