asins/sc/indian/1997/q2/,inq21997.tgz,977732.nc,19970512,17.7833,66.3333,1.00000,460.000,13.0000,29.7300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977733.nc,19970512,16.9000,67.3500,1.00000,460.000,12.7500,29.3900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977734.nc,19970513,16.0333,68.3000,1.00000,460.000,12.3700,29.9600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977735.nc,19970513,15.2000,69.1833,1.00000,460.000,11.8800,30.0700,,
woce-uot,./data/basins/sc/indian/
