"B13002C",7.000,"Unmarried (never married, widowed and divorced)","N","N","N","N"
"B13002D",.,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE)",,,,
"B13002D",.,"Universe:  Asian alone women 15 to 50 years",,,,
"B13002D",1.000,"Total:","7,648","+/-1,105","6,543","8,753"
"B13002D",2.000,"Women who had a birth in the past 12 months:","336","+/-270","66","606"
"B13002D",3.000,"Now married (including separated and spouse absent)","208","+/-207","1","415"
"B13002D",4.000
