, or van - drove alone","5,696","+/-1,117","4,579","6,813"
"B08105B",3.000,"Car, truck, or van - carpooled","794","+/-494","300","1,288"
"B08105B",4.000,"Public transportation (excluding taxicab)","1,430","+/-716","714","2,146"
"B08105B",5.000,"Walked","0","+/-292","0","292"
"B08105B",6.000,"Taxicab, motorcycle, bicycle, or other means","117","+/-207","0","324"
"B08105B",7.000,"Worked at home","191","+/-219","0","410"
"B08105C",.,"MEANS OF TRANSPORTATION TO WORK (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,
