2","113","         2,141","           801","         3,481"
"50000US5504","2","114","         2,307","           634","         3,980"
"50000US5504","2","115","         7,428","         3,288","        11,568"
"50000US5504","2","116","         1,267","           359","         2,175"
"50000US5504","2","117","         4,755","         2,388","         7,122"
"50000US5504","2","118","         8,651","         4,964","        12,338"
"50000US5504","2","119","         1,594","           495","         2,6
