",13.000,"$25,000 to $29,999","81,254","+/-4,980","76,274","86,234"
"B20001",14.000,"$30,000 to $34,999","93,237","+/-4,299","88,938","97,536"
"B20001",15.000,"$35,000 to $39,999","80,704","+/-3,758","76,946","84,462"
"B20001",16.000,"$40,000 to $44,999","79,437","+/-4,190","75,247","83,627"
"B20001",17.000,"$45,000 to $49,999","59,607","+/-3,705","55,902","63,312"
"B20001",18.000,"$50,000 to $54,999","66,235","+/-4,187","62,048","70,422"
"B20001",19.000,"$55,000 to $64,999","94,971","+/-4,909","90,062","99
