, and accommodation and food services:","8,354","+/-1,699","6,655","10,053"
"B24030",99.000,"Arts, entertainment, and recreation","948","+/-431","517","1,379"
"B24030",100.000,"Accommodation and food services","7,406","+/-1,605","5,801","9,011"
"B24030",101.000,"Other services, except public administration:","6,017","+/-1,030","4,987","7,047"
"B24030",102.000,"Repair and maintenance","2,951","+/-790","2,161","3,741"
"B24030",103.000,"Personal and laundry services","1,602","+/-675","927","2,277"
"B24030",104
