99,112,59,92,26,4,2
.NONRELATIVE,,,,,,,,,,
..Nonrelative,592,7,59,216,123,65,87,33,1,1
45 to 54 years,,,,,,,,,,
.Total,"15,246",181,639,"4,864","2,755","1,874","3,078","1,481",198,177
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"3,613",32,116,"1,083",693,441,820,330,50,49
..Other family householder,"1,463",8,78,424,320,197,283,120,20,12
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"1,766",26,62,455,340,264,352,196,42,29
..Living with nonrelatives,306,15,11,73,74,43,39,41,-,10
.RELAT
