150,000 to $199,999","24,802","+/-2,528","22,274","27,330"
"C19001",11.000,"$200,000 or more","33,010","+/-2,100","30,910","35,110"
"C19001A",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE HOUSEHOLDER)",,,,
"C19001A",.,"Universe:  Households with a householder who is White alone",,,,
"C19001A",1.000,"Total:","166,910","+/-2,749","164,161","169,659"
"C19001A",2.000,"Less than $10,000","4,348","+/-1,061","3,287","5,409"
"C19001A",3.000,"$10,000 to $14,999","4,658",
