 Attainment,,,,,,,,
,,None - 8th grade,9th - 11th grade,High school graduate,Some college no degree,Associate degree,Bachelor's degree,Master's degree,Professional degree,Doctorate degree
15 years and over,,,,,,,,,,
.Total,"159,307","6,089","18,160","49,129","30,245","12,936","28,263","10,250","2,317","1,918"
.FAMILY HOUSEHOLDER,,,,,,,,,,
..Married spouse present,"44,197","1,098","2,517","13,259","8,036","4,140","9,686","3,671",970,821
..Other family householder,"9,825",365,"1,029","3,517","2,148",962
