dian/1997/q2/,inq21997.tgz,989994.nc,19970617,-13.0000,42.2000,0.700000,836.100,7.17000,27.2000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,989995.nc,19970617,-14.2000,41.8000,0.700000,836.100,7.61000,27.1200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,989996.nc,19970617,-15.5000,41.2000,0.700000,836.100,7.38000,27.1600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,989997.nc,19970617,-16.7000,40.6000,0.700000,836.100,6.80000,26.4900,,
woce-uot,./data/basins/sc/indian/199
