White alone, not Hispanic or Latino population",,,,
"B19301H",1.000,"Per capita income in the past 12 months (in 2007 inflation-adjusted dollars)","38,380","+/-464","37,916","38,844"
"B19301I",.,"PER CAPITA INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO)",,,,
"B19301I",.,"Universe:  Hispanic or Latino population",,,,
"B19301I",1.000,"Per capita income in the past 12 months (in 2007 inflation-adjusted dollars)","22,012","+/-986","21,026","22,998"
"B19313",.,"AGGREGATE I
