4"," 68","           190","             0","           498"
"50000US4810","4"," 69","         2,150","           836","         3,464"
"50000US4810","4"," 70","        10,252","         7,761","        12,743"
"50000US4810","4"," 71","        41,639","        36,606","        46,672"
"50000US4810","4"," 72","        19,364","        15,582","        23,146"
"50000US4810","4"," 73","        10,564","         7,612","        13,516"
"50000US4810","4"," 74","         1,341","         1,295","         1,3
