,43.000,"Value $100,000 to $199,999","8,990","+/-1,605","7,385","10,595"
"B25121",44.000,"Value $200,000 to $249,999","5,842","+/-1,309","4,533","7,151"
"B25121",45.000,"Value $250,000 to $499,999","7,005","+/-1,500","5,505","8,505"
"B25121",46.000,"Value $500,000 or more","1,117","+/-546","571","1,663"
"B25121",47.000,"$35,000 to $49,999:","28,852","+/-2,650","26,202","31,502"
"B25121",48.000,"Value less than $10,000","299","+/-246","53","545"
"B25121",49.000,"Value $10,000 to $19,999","728","+/-459","269"
