G",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (TWO OR MORE RACES HOUSEHOLDER)",,,,
"C19001G",.,"Universe:  Households with a householder who is Two or more races",,,,
"C19001G",1.000,"Total:","N","N","N","N"
"C19001G",2.000,"Less than $10,000","N","N","N","N"
"C19001G",3.000,"$10,000 to $14,999","N","N","N","N"
"C19001G",4.000,"$15,000 to $24,999","N","N","N","N"
"C19001G",5.000,"$25,000 to $34,999","N","N","N","N"
"C19001G",6.000,"$35,000 to $49,999","N","N","N","N"
"C19
